travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
walk,HBO,full,6,15.83333333,30,0,1,2145,0.553055556,0.1575,0.158333333,0.473684,0,35-50k,2,0.436388889,Central London
pt,HBO,full,7,10.0,50,1,1,1789,0.473333333,0.160555556,0.135,0.547325,0,15-20k,5,0.271111111,Central London
pt,HBW,full,5,17.0,55,1,1,10036,2.411666667,0.761388889,0.638055556,0.543317,2,75-100k,2,0.830833333,South London
drive,HBO,full,6,16.88333333,51,1,1,1531,0.423888889,0.168611111,0.110555556,0.268844,1,>100k,2,0.295555556,East London
pt,HBW,full,3,7.5,39,1,1,1124,0.275833333,0.123611111,0.081666667,0.156463,1,>100k,4,0.124722222,South London
drive,HBO,full,6,12.33333333,41,1,1,1549,0.438333333,0.1475,0.136388889,0.177189,1,15-20k,2,0.445277778,East London
walk,HBE,full,4,15.16666667,34,1,0,525,0.166111111,0.072222222,0.0575,0.241546,0,20-25k,3,0.163055556,Central London
drive,HBE,full,4,15.25,32,1,0,2423,0.625,0.165555556,0.221111111,0.44598,1,<5k,4,0.489444444,East London
pt,NHBO,full,1,18.5,34,0,1,6416,1.482777778,0.494166667,0.409166667,0.710115,0,50-75k,2,0.688333333,South London
drive,HBO,full,2,16.83333333,69,1,1,1400,0.404444444,0.1175,0.100555556,0.104972,1,25-35k,2,0.316944444,North London
walk,NHBO,full,1,18.91666667,29,0,1,720,0.171111111,0.055555556,0.046944444,0.35503,0,50-75k,2,0.113333333,Central London
walk,HBE,free,3,8.333333333,10,0,0,486,0.315,0.116388889,0.071111111,0.128906,1,50-75k,4,0.212222222,East London
drive,HBO,full,7,14.58333333,44,0,1,2528,0.568055556,0.207222222,0.191388889,0.477504,0,>100k,1,0.2525,Central London
drive,NHBO,free,3,14.25,66,1,1,937,0.230833333,0.138333333,0.128333333,0.367965,1,5-10k,1,0.187777778,East London
drive,HBO,child,4,13.5,14,0,0,7379,1.735,0.636666667,0.349444444,0.125596,1,75-100k,3,0.773333333,East London
drive,HBO,full,6,18.0,32,0,1,828,0.255277778,0.076111111,0.071666667,0.151163,1,50-75k,3,0.211944444,South London
walk,NHBO,free,3,10.75,7,0,0,1784,0.443611111,0.169166667,0.124722222,0.247216,1,5-10k,4,0.245,North London
walk,HBO,full,2,12.75,33,1,1,368,0.103055556,0.054722222,0.048055556,0.242775,1,15-20k,3,0.071111111,West London
pt,HBO,free,1,13.66666667,61,0,1,4482,1.033333333,0.341944444,0.276111111,0.408451,1,15-20k,1,0.618055556,West London
drive,HBO,free,6,9.5,88,0,1,1205,0.399722222,0.111111111,0.093333333,0.0267857,1,10-15k,1,0.222777778,East London
drive,HBO,full,4,18.5,51,0,1,713,0.17,0.047777778,0.067777778,0.184426,2,50-75k,4,0.142777778,South London
drive,HBW,full,7,4.5,39,0,1,10076,2.730833333,0.705277778,0.278333333,0.301397,0,>100k,2,0.714166667,West London
drive,HBO,full,7,17.0,46,1,1,426,0.145555556,0.034722222,0.059722222,0.0697674,1,75-100k,4,0.146111111,East London
drive,HBO,full,1,19.03333333,45,1,1,1285,0.298055556,0.092222222,0.090277778,0.243077,2,>100k,5,0.225555556,South London
drive,HBO,free,1,17.83333333,5,0,0,1731,0.403611111,0.113333333,0.107222222,0.316062,2,5-10k,4,0.213333333,West London
drive,HBW,full,1,19.25,53,0,1,6486,1.524166667,0.432777778,0.399166667,0.245651,1,35-50k,3,0.810833333,South London
walk,NHBO,free,6,14.0,66,1,1,474,0.128055556,0.066944444,0.050555556,0.258242,0,15-20k,3,0.066388889,East London
drive,HBO,free,3,17.16666667,53,1,1,5421,1.466944444,0.421944444,0.364722222,0.382331,3,50-75k,3,1.036111111,West London
walk,NHBO,full,5,17.5,20,1,1,519,0.129166667,0.040555556,0.049444444,0.47191,1,15-20k,2,0.104166667,West London
drive,HBO,free,2,17.91666667,8,0,0,1280,0.320277778,0.083611111,0.068333333,0.357724,2,20-25k,4,0.231666667,South London
walk,NHBO,full,6,23.0,43,0,1,393,0.095277778,0.020833333,0.021666667,0.538462,1,20-25k,1,0.045555556,Central London
drive,NHBO,child,3,16.25,15,1,0,4542,1.004722222,0.272222222,0.318055556,0.408734,1,5-10k,3,0.578888889,South London
pt,HBO,free,3,10.33333333,81,1,0,2598,0.579444444,0.1825,0.136111111,0.371429,0,10-15k,1,0.189166667,South London
pt,HBW,full,1,7.833333333,26,1,0,2715,0.668888889,0.216388889,0.215,0.365633,0,5-10k,4,0.455,West London
drive,HBO,free,6,13.08333333,10,1,0,10273,2.557222222,0.736388889,0.569444444,0.434146,0,20-25k,5,0.838611111,North London
walk,NHBO,full,6,10.38333333,40,1,1,652,0.15,0.046388889,0.040277778,0.268966,1,>100k,3,0.103333333,Central London
pt,HBW,full,5,17.16666667,37,0,1,8677,1.983055556,0.697222222,0.6475,0.660661,1,75-100k,5,0.919166667,West London
pt,HBW,full,5,18.0,35,0,1,12878,2.994444444,1.003333333,0.837777778,0.688992,1,35-50k,3,0.77,Central London
drive,HBW,full,6,6.0,40,0,1,16775,3.714722222,1.08,0.595555556,0.318097,2,35-50k,5,0.988333333,South London
pt,NHBO,full,6,19.0,26,0,1,2427,0.6,0.295277778,0.278055556,0.675325,1,25-35k,1,0.258055556,East London
walk,HBE,full,4,8.416666667,39,1,0,1406,0.328055556,0.09,0.077222222,0.118705,1,>100k,4,0.195555556,West London
drive,HBE,full,4,8.0,31,1,1,1722,0.485555556,0.155,0.130277778,0.0597015,1,50-75k,3,0.451944444,West London
walk,HBO,dis,1,20.13333333,21,1,1,856,0.1975,0.085555556,0.069444444,0.104,0,25-35k,3,0.0975,North London
drive,HBO,full,3,14.5,33,0,1,1922,0.561111111,0.179444444,0.138888889,0.358,1,35-50k,1,0.470277778,North London
