,travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
0,pt,HBO,full,7,10.0,50,1,1,1789,0.473333333,0.160555556,0.135,0.547325,0,15-20k,5,0.271111111,Central London
1,pt,HBW,full,5,17.0,55,1,1,10036,2.411666667,0.761388889,0.638055556,0.543317,2,75-100k,2,0.830833333,South London
2,pt,HBW,full,3,7.5,39,1,1,1124,0.275833333,0.123611111,0.081666667,0.156463,1,>100k,4,0.124722222,South London
3,walk,HBE,full,4,15.16666667,34,1,0,525,0.166111111,0.072222222,0.0575,0.241546,0,20-25k,3,0.163055556,Central London
4,drive,HBO,full,2,16.83333333,69,1,1,1400,0.404444444,0.1175,0.100555556,0.104972,1,25-35k,2,0.316944444,North London
5,drive,HBO,full,7,14.58333333,44,0,1,2528,0.568055556,0.207222222,0.191388889,0.477504,0,>100k,1,0.2525,Central London
6,walk,HBO,full,2,12.75,33,1,1,368,0.103055556,0.054722222,0.048055556,0.242775,1,15-20k,3,0.071111111,West London
7,drive,HBO,full,1,19.03333333,45,1,1,1285,0.298055556,0.092222222,0.090277778,0.243077,2,>100k,5,0.225555556,South London
8,drive,HBO,free,3,17.16666667,53,1,1,5421,1.466944444,0.421944444,0.364722222,0.382331,3,50-75k,3,1.036111111,West London
9,pt,HBO,free,3,10.33333333,81,1,0,2598,0.579444444,0.1825,0.136111111,0.371429,0,10-15k,1,0.189166667,South London
10,pt,HBW,full,1,7.833333333,26,1,0,2715,0.668888889,0.216388889,0.215,0.365633,0,5-10k,4,0.455,West London
11,walk,NHBO,full,6,10.38333333,40,1,1,652,0.15,0.046388889,0.040277778,0.268966,1,>100k,3,0.103333333,Central London
12,walk,HBE,full,4,8.416666667,39,1,0,1406,0.328055556,0.09,0.077222222,0.118705,1,>100k,4,0.195555556,West London
13,drive,HBE,full,4,8.0,31,1,1,1722,0.485555556,0.155,0.130277778,0.0597015,1,50-75k,3,0.451944444,West London
14,walk,HBO,dis,1,20.13333333,21,1,1,856,0.1975,0.085555556,0.069444444,0.104,0,25-35k,3,0.0975,North London
15,drive,HBO,full,3,14.5,33,0,1,1922,0.561111111,0.179444444,0.138888889,0.358,1,35-50k,1,0.470277778,North London
16,pt,HBO,free,2,11.66666667,75,1,0,856,0.220277778,0.116111111,0.063611111,0.209607,0,10-15k,1,0.135833333,Central London
17,drive,NHBO,free,3,16.5,49,0,1,4823,1.248888889,0.389166667,0.295833333,0.287324,1,35-50k,4,0.639444444,South London
18,pt,HBO,free,3,4.0,48,0,0,1369,0.351388889,0.126388889,0.096944444,0.117479,0,<5k,1,0.305833333,Central London
19,cycle,HBW,full,5,8.25,48,0,1,4336,1.124722222,0.420555556,0.357777778,0.625776,1,50-75k,1,0.698888889,Central London
20,drive,HBO,full,7,12.5,24,1,1,936,0.252222222,0.089444444,0.074166667,0.11985,3,75-100k,4,0.237777778,North London
21,walk,NHBO,full,1,16.16666667,38,1,1,893,0.193611111,0.0975,0.170833333,0.715447,1,35-50k,2,0.1075,Central London
22,pt,HBW,full,4,17.75,30,1,0,9943,2.264166667,0.810277778,0.790833333,0.726027,1,35-50k,4,0.76,West London
23,pt,NHBO,full,6,11.25,50,1,1,1751,0.414444444,0.128055556,0.111666667,0.370647,0,5-10k,2,0.273888889,South London
24,drive,HBO,full,6,12.5,37,0,1,3491,0.866666667,0.272222222,0.250833333,0.34773,1,50-75k,3,0.431388889,Central London
25,drive,HBE,free,3,9.0,40,1,1,2282,0.592222222,0.173611111,0.19,0.47076,1,25-35k,4,0.3175,North London
26,drive,HBW,free,1,19.58333333,65,0,1,5909,1.480277778,0.407777778,0.372222222,0.6,2,25-35k,2,0.556388889,West London
27,drive,HBE,child,3,12.5,11,1,0,7663,1.887222222,0.578888889,0.505833333,0.373421,2,20-25k,8,0.633055556,East London
28,pt,B,full,3,15.5,36,0,1,10711,2.712222222,0.867777778,0.623055556,0.471244,2,35-50k,6,0.816111111,East London
29,walk,NHBO,full,1,12.63333333,43,1,1,568,0.127777778,0.066111111,0.092777778,0.488024,1,>100k,3,0.083055556,West London
30,cycle,HBO,full,6,9.0,30,1,0,1465,0.374166667,0.096111111,0.094722222,0.146628,1,75-100k,2,0.206388889,West London
31,drive,NHBO,free,3,14.5,66,1,0,8800,2.313888889,0.671111111,0.464444444,0.221292,2,50-75k,3,1.127222222,East London
32,cycle,HBW,full,2,18.16666667,54,0,1,12483,2.894444444,1.002222222,0.593888889,0.587465,2,>100k,3,0.865,West London
33,pt,HBO,free,1,11.0,64,1,1,3022,0.691666667,0.21,0.142222222,0.113281,2,50-75k,2,0.331944444,North London
34,walk,HBE,full,2,15.83333333,52,1,1,971,0.211111111,0.068888889,0.070833333,0.509804,2,35-50k,3,0.130833333,South London
35,walk,HBO,full,6,15.0,34,1,1,848,0.188055556,0.081944444,0.050833333,0.20765,1,50-75k,2,0.094722222,North London
36,pt,HBO,full,6,14.0,55,1,0,3414,0.866111111,0.306111111,0.302222222,0.438419,0,25-35k,1,0.435833333,Central London
37,pt,HBO,full,6,21.16666667,21,1,1,7662,1.845555556,0.672222222,0.608055556,0.555962,4,>100k,4,0.572777778,North London
38,drive,B,free,1,5.5,60,1,1,23594,5.520555556,1.598333333,0.543888889,0.234934,1,25-35k,1,1.644444444,North London
39,pt,HBO,free,6,13.5,76,1,0,3946,0.923611111,0.254722222,0.258888889,0.408798,1,50-75k,2,0.549166667,West London
40,drive,HBO,full,5,22.0,57,0,1,3452,1.003055556,0.293055556,0.179166667,0.186047,1,10-15k,3,0.471944444,West London
41,pt,HBW,full,1,19.25,28,1,0,4413,1.031388889,0.335555556,0.251388889,0.154696,0,15-20k,3,0.423888889,South London
42,drive,HBO,free,1,15.5,6,1,0,1571,0.408055556,0.114444444,0.073888889,0.0902256,2,25-35k,4,0.214166667,South London
43,pt,B,full,2,8.25,43,1,1,12296,2.918888889,1.049722222,0.958888889,0.710892,1,35-50k,3,0.768611111,East London
44,drive,HBO,full,2,19.5,55,1,1,7947,2.079166667,0.602777778,0.440277778,0.283281,1,50-75k,4,0.9925,North London
45,pt,B,full,5,16.5,25,0,1,20100,4.666944444,1.381944444,1.346111111,0.607924,3,35-50k,3,1.308611111,East London
46,drive,HBO,full,4,12.83333333,38,1,1,16765,4.283611111,1.290833333,0.761111111,0.361679,1,>100k,4,1.184166667,East London
47,drive,HBO,full,6,13.41666667,29,1,0,6116,1.666388889,0.476111111,0.325555556,0.302048,1,50-75k,3,0.593888889,West London
48,drive,HBO,free,6,16.33333333,5,1,0,3349,0.859444444,0.242777778,0.216944444,0.504481,1,>100k,4,0.342222222,West London
49,drive,HBO,full,6,9.416666667,40,1,1,2011,0.482777778,0.139166667,0.09,0.299383,1,50-75k,3,0.401388889,South London
50,walk,HBO,full,5,21.33333333,39,0,0,458,0.128333333,0.039722222,0.033333333,0.208333,0,20-25k,4,0.078055556,South London
51,drive,HBO,full,6,12.0,41,1,1,2833,0.734722222,0.208055556,0.199444444,0.564067,1,>100k,4,0.448611111,South London
52,pt,HBE,full,5,8.25,39,1,0,2505,0.584444444,0.19,0.128888889,0.172414,0,10-15k,3,0.362777778,West London
53,drive,HBO,full,7,11.25,30,1,1,1720,0.439166667,0.147777778,0.138055556,0.217304,2,20-25k,7,0.265833333,West London
54,pt,HBE,child,4,7.583333333,11,1,0,1824,0.455555556,0.138055556,0.115277778,0.154217,1,35-50k,4,0.343888889,South London
55,pt,HBO,dis,5,0.0,23,1,0,7055,1.715277778,0.646111111,0.41,0.511518,0,5-10k,2,0.542777778,Central London
56,drive,HBW,full,1,7.75,60,1,1,4413,1.116388889,0.404444444,0.249444444,0.324053,1,25-35k,2,0.407222222,South London
57,drive,HBO,full,4,17.0,49,1,1,663,0.222777778,0.071666667,0.060277778,0.101382,1,25-35k,1,0.158055556,South London
58,pt,HBO,full,1,15.0,50,1,0,537,0.151388889,0.0525,0.068333333,0.158537,0,25-35k,2,0.103055556,South London
59,pt,HBE,full,3,15.5,30,1,0,12593,2.891388889,0.893333333,0.68,0.524101,0,5-10k,5,0.698333333,West London
60,drive,HBO,free,6,20.75,63,1,0,2730,0.668888889,0.188055556,0.190277778,0.205839,0,10-15k,1,0.305555556,West London
61,pt,HBW,full,1,8.333333333,26,1,1,4520,1.018888889,0.334722222,0.281944444,0.804926,3,75-100k,4,0.358611111,South London
62,drive,HBO,free,1,18.0,65,1,1,12972,3.107777778,1.029166667,0.738055556,0.283779,1,5-10k,1,1.2175,South London
63,drive,HBO,free,6,12.16666667,62,1,1,2120,0.601388889,0.188333333,0.189166667,0.229075,1,5-10k,2,0.348333333,West London
64,drive,HBO,free,6,18.0,5,1,0,2225,0.675555556,0.217222222,0.1425,0.140351,1,50-75k,4,0.401666667,North London
65,walk,HBO,full,7,13.91666667,24,0,1,1661,0.410555556,0.099444444,0.107222222,0.292746,0,25-35k,1,0.210277778,South London
66,pt,HBW,full,4,8.0,30,1,1,4656,1.113611111,0.396944444,0.386388889,0.482387,0,35-50k,2,0.676666667,East London
67,walk,HBO,full,1,12.0,23,1,1,703,0.169444444,0.041111111,0.068333333,0.199187,0,10-15k,1,0.140833333,North London
