travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
pt,HBO,full,7,10.0,50,1,1,1789,0.473333333,0.160555556,0.135,0.547325,0,15-20k,5,0.271111111,Central London
pt,HBW,full,5,17.0,55,1,1,10036,2.411666667,0.761388889,0.638055556,0.543317,2,75-100k,2,0.830833333,South London
pt,HBW,full,3,7.5,39,1,1,1124,0.275833333,0.123611111,0.081666667,0.156463,1,>100k,4,0.124722222,South London
walk,HBE,full,4,15.16666667,34,1,0,525,0.166111111,0.072222222,0.0575,0.241546,0,20-25k,3,0.163055556,Central London
drive,HBO,full,2,16.83333333,69,1,1,1400,0.404444444,0.1175,0.100555556,0.104972,1,25-35k,2,0.316944444,North London
drive,HBO,full,7,14.58333333,44,0,1,2528,0.568055556,0.207222222,0.191388889,0.477504,0,>100k,1,0.2525,Central London
walk,HBO,full,2,12.75,33,1,1,368,0.103055556,0.054722222,0.048055556,0.242775,1,15-20k,3,0.071111111,West London
drive,HBO,full,1,19.03333333,45,1,1,1285,0.298055556,0.092222222,0.090277778,0.243077,2,>100k,5,0.225555556,South London
drive,HBO,free,3,17.16666667,53,1,1,5421,1.466944444,0.421944444,0.364722222,0.382331,3,50-75k,3,1.036111111,West London
pt,HBO,free,3,10.33333333,81,1,0,2598,0.579444444,0.1825,0.136111111,0.371429,0,10-15k,1,0.189166667,South London
pt,HBW,full,1,7.833333333,26,1,0,2715,0.668888889,0.216388889,0.215,0.365633,0,5-10k,4,0.455,West London
walk,NHBO,full,6,10.38333333,40,1,1,652,0.15,0.046388889,0.040277778,0.268966,1,>100k,3,0.103333333,Central London
walk,HBE,full,4,8.416666667,39,1,0,1406,0.328055556,0.09,0.077222222,0.118705,1,>100k,4,0.195555556,West London
drive,HBE,full,4,8.0,31,1,1,1722,0.485555556,0.155,0.130277778,0.0597015,1,50-75k,3,0.451944444,West London
walk,HBO,dis,1,20.13333333,21,1,1,856,0.1975,0.085555556,0.069444444,0.104,0,25-35k,3,0.0975,North London
drive,HBO,full,3,14.5,33,0,1,1922,0.561111111,0.179444444,0.138888889,0.358,1,35-50k,1,0.470277778,North London
pt,HBO,free,2,11.66666667,75,1,0,856,0.220277778,0.116111111,0.063611111,0.209607,0,10-15k,1,0.135833333,Central London
drive,NHBO,free,3,16.5,49,0,1,4823,1.248888889,0.389166667,0.295833333,0.287324,1,35-50k,4,0.639444444,South London
pt,HBO,free,3,4.0,48,0,0,1369,0.351388889,0.126388889,0.096944444,0.117479,0,<5k,1,0.305833333,Central London
cycle,HBW,full,5,8.25,48,0,1,4336,1.124722222,0.420555556,0.357777778,0.625776,1,50-75k,1,0.698888889,Central London
drive,HBO,full,7,12.5,24,1,1,936,0.252222222,0.089444444,0.074166667,0.11985,3,75-100k,4,0.237777778,North London
walk,NHBO,full,1,16.16666667,38,1,1,893,0.193611111,0.0975,0.170833333,0.715447,1,35-50k,2,0.1075,Central London
pt,HBW,full,4,17.75,30,1,0,9943,2.264166667,0.810277778,0.790833333,0.726027,1,35-50k,4,0.76,West London
pt,NHBO,full,6,11.25,50,1,1,1751,0.414444444,0.128055556,0.111666667,0.370647,0,5-10k,2,0.273888889,South London
drive,HBO,full,6,12.5,37,0,1,3491,0.866666667,0.272222222,0.250833333,0.34773,1,50-75k,3,0.431388889,Central London
drive,HBE,free,3,9.0,40,1,1,2282,0.592222222,0.173611111,0.19,0.47076,1,25-35k,4,0.3175,North London
drive,HBW,free,1,19.58333333,65,0,1,5909,1.480277778,0.407777778,0.372222222,0.6,2,25-35k,2,0.556388889,West London
drive,HBE,child,3,12.5,11,1,0,7663,1.887222222,0.578888889,0.505833333,0.373421,2,20-25k,8,0.633055556,East London
pt,B,full,3,15.5,36,0,1,10711,2.712222222,0.867777778,0.623055556,0.471244,2,35-50k,6,0.816111111,East London
