,age,female,hh_borough
0,47,1,Hackney
1,59,0,Sevenoaks
2,46,0,Thurrock
3,30,1,Ealing
4,31,1,Newham
5,68,1,Newham
6,57,0,Elmbridge
7,10,0,Wandsworth
8,58,0,Hertsmere
9,6,1,Spelthorne
10,36,1,Lambeth
11,31,1,Ealing
12,43,1,Hackney
13,8,1,Spelthorne
14,49,0,Barnet
15,67,1,Westminster
16,82,1,Spelthorne
17,32,0,Thurrock
18,58,1,Bromley
19,4,1,Epping Forest
20,1,1,South Bucks
21,29,0,Greenwich
22,90,1,Brent
23,27,1,Bromley
24,47,0,Barking and Dagenham
25,37,0,Bromley
26,15,0,Islington
27,33,1,Bexley
28,24,1,Barking and Dagenham
29,5,1,Hillingdon
30,55,1,Barnet
31,15,0,Brent
32,5,1,Croydon
33,58,1,Richmond upon Thames
34,49,1,Hammersmith & Fulham
35,40,0,Southwark
36,61,1,South Bucks
37,3,0,Haringey
38,34,0,Kingston upon Thames
39,45,0,Watford
40,69,0,Southwark
41,41,0,Hammersmith & Fulham
42,44,1,Lambeth
43,53,1,Lambeth
44,31,1,Sutton
45,0,1,Redbridge
46,40,1,Greenwich
47,90,1,Hackney
48,4,1,Hounslow
49,5,0,Wandsworth
50,23,1,Tower Hamlets
51,30,1,Reigate and Banstead
52,61,0,Barnet
53,68,1,Thurrock
54,63,1,Epping Forest
55,9,1,Hillingdon
56,36,1,Sutton
57,39,1,Lewisham
58,77,0,Camden
59,32,0,Tandridge
60,9,0,Kensington and Chelsea
61,25,0,Redbridge
62,48,0,Redbridge
63,33,0,Lambeth
64,76,1,Elmbridge
65,32,0,Wandsworth
66,2,1,Barnet
67,44,0,Hillingdon
68,47,0,Croydon
69,35,1,Bexley
70,68,0,Waltham Forest
71,64,1,Redbridge
72,29,0,Woking
73,3,1,Mole Valley
74,52,0,Barnet
75,33,0,Westminster
76,64,0,Merton
77,40,0,Southwark
78,52,1,Brent
79,35,1,Redbridge
80,37,0,Tower Hamlets
81,84,1,Ealing
82,22,1,Hackney
83,84,1,Waltham Forest
84,24,0,Hertsmere
85,10,0,Kingston upon Thames
86,46,0,Ealing
87,27,1,Wandsworth
88,76,0,Richmond upon Thames
89,60,1,Hammersmith & Fulham
90,36,1,Bexley
91,64,0,Hertsmere
92,51,1,Hillingdon
93,92,1,Barnet
94,9,0,Spelthorne
95,39,1,Woking
96,46,1,Three Rivers
97,11,1,Brent
98,36,1,Hackney
99,37,1,Sutton
100,37,0,Barnet
101,55,0,Sutton
102,40,0,Enfield
103,45,0,Kensington and Chelsea
104,50,1,Westminster
105,52,1,Reigate and Banstead
106,4,1,Hounslow
107,23,1,Epping Forest
108,78,1,Epping Forest
109,4,1,Brent
110,28,0,Lewisham
111,42,0,Tandridge
112,6,1,Watford
113,44,1,Islington
114,19,0,Westminster
115,4,1,Westminster
116,14,0,Barnet
117,13,1,Hillingdon
118,29,1,Hounslow
119,69,0,Newham
120,44,1,Harrow
121,0,0,Thurrock
122,3,0,Reigate and Banstead
123,30,1,Ealing
124,58,0,Enfield
125,18,1,Sevenoaks
126,35,0,Tower Hamlets
127,26,0,Mole Valley
128,34,0,Barnet
129,8,1,Hillingdon
130,67,1,Havering
131,8,0,Hackney
132,73,1,Bromley
133,61,0,Barnet
134,43,0,Haringey
135,0,0,Westminster
136,67,1,Croydon
137,69,0,Thurrock
138,73,1,Hammersmith & Fulham
139,26,1,Lewisham
140,68,1,Hillingdon
141,42,0,Harrow
142,99,0,Harrow
143,13,1,Redbridge
144,42,0,Ealing
145,67,1,Bexley
146,13,0,Southwark
147,47,0,Waltham Forest
148,43,0,Hackney
149,21,0,Hillingdon
150,30,0,Kingston upon Thames
151,58,0,Bromley
152,88,1,Barnet
153,33,0,Dartford
154,58,1,Waltham Forest
155,31,1,Barking and Dagenham
156,30,0,Westminster
157,0,0,Sutton
158,70,1,Havering
159,26,0,Wandsworth
160,71,1,Lewisham
161,61,0,Brent
162,26,0,Southwark
163,17,1,Reigate and Banstead
164,47,1,Newham
165,30,1,Thurrock
166,38,1,Barnet
167,53,0,Elmbridge
168,38,0,Southwark
169,60,1,Lambeth
170,65,0,Camden
171,37,0,Ealing
172,67,1,Haringey
173,60,0,Dartford
174,37,1,Lewisham
175,41,0,Westminster
176,63,1,Elmbridge
177,45,1,Greenwich
178,4,0,Richmond upon Thames
179,18,0,Tandridge
180,67,1,Hillingdon
181,32,0,Lambeth
182,87,1,Westminster
183,37,0,Merton
184,64,0,Haringey
185,35,1,Hounslow
186,16,0,Tower Hamlets
187,2,0,Spelthorne
188,60,1,Hertsmere
189,28,1,Southwark
190,67,1,Camden
191,18,1,Barking and Dagenham
192,25,0,Tower Hamlets
193,51,1,Lewisham
194,34,0,Tandridge
195,81,1,Islington
196,31,1,Woking
197,30,0,Wandsworth
198,65,1,Havering
199,30,0,Camden
200,81,0,Hillingdon
201,28,1,Tower Hamlets
202,46,0,Hammersmith & Fulham
203,27,1,Camden
204,10,1,Watford
205,10,0,Hammersmith & Fulham
