travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
drive,B,full,4,10.31991722844381,59.0,1,1,3421.0,1.2672147049572677,0.3813026182593289,0.3234838456681644,0.31771989012962787,2,50-75k,2,0.6985430764282976,Central London
drive,HBO,full,5,19.632675489785612,42.0,1,0,2447.0,0.3474780142429555,0.2291286949095875,0.18118064741099343,0.33616490603249527,1,15-20k,4,0.5102946177060464,East London
drive,HBO,full,7,9.296908168840753,35.0,1,1,905.0,0.1468340241591472,0.05274426172169759,0.06819518852400416,0.5193656117150253,1,>100k,2,0.22029275183563474,West London
pt,HBO,free,4,16.22751856466374,71.0,1,0,5440.0,1.2791358864646238,0.40267019778952384,0.28943255453434175,0.36467155720177974,0,10-15k,1,0.7936872495733032,North London
walk,HBO,free,7,14.475741171169872,82.0,0,0,761.0,0.21220156649831143,0.0361675340161495,0.04574697145553693,0.02423276201886096,0,15-20k,1,0.24889951628356954,Central London
pt,NHBO,full,5,13.145519361614316,33.0,1,0,6802.0,1.3865326774634812,0.5747144594182443,0.41133071494365764,0.4688189962825639,0,10-15k,4,0.20409427609179664,East London
drive,HBW,full,5,17.535366331909785,28.0,1,1,3548.0,0.6853018327535179,0.20003197949347004,0.18388729590171382,0.22006071187003665,0,25-35k,1,0.4362522607010142,West London
walk,HBW,full,2,13.506139098753792,38.0,1,1,804.0,0.272589172135601,0.05945411298565291,0.06257310093805336,0.6606946842907924,1,25-35k,4,0.17023268997223787,West London
drive,NHBO,free,3,16.926468701319003,44.0,1,1,5831.0,1.719511667989125,0.5109377714282722,0.32413168845531704,0.23068906090347455,1,20-25k,1,0.5483201480014827,West London
drive,NHBO,full,5,13.075759718343745,53.0,1,1,2113.0,1.6434987666501981,0.4789140080170759,0.20289468640653036,0.3879738401510547,1,20-25k,2,0.627987929634426,East London
walk,B,full,3,12.162916322588028,42.0,1,1,468.0,0.13951541908448375,0.036389849350699104,0.04039214402349817,0.1570911496650802,0,10-15k,1,0.49434859439702944,East London
pt,HBW,full,1,7.024359783848183,44.0,1,1,3973.0,0.8569759961627323,0.4885412799254485,0.38837868359729677,0.31803025537580737,1,5-10k,3,0.47679908561173096,South London
walk,HBO,free,3,19.520332652788074,25.0,1,0,1945.0,1.6999381767206456,0.09117612807452523,0.16437417021319295,0.6327259437148515,1,<5k,2,0.16619093693877618,East London
drive,B,full,1,8.797457003524677,55.0,1,1,1554.0,0.3160143653497183,0.49753501048136134,0.10205062123241439,0.3194050852516974,1,75-100k,2,0.30391575251625746,South London
pt,HBO,free,5,15.178697038239392,57.0,1,0,1900.0,0.5290584684939246,0.10736065241955008,0.3934632790443231,0.29233863684326344,1,5-10k,2,0.296541618803683,South London
pt,HBO,free,5,9.663549069420426,66.0,0,1,22186.0,1.1963247512738395,0.5032644959808783,0.2336835786358392,0.18981389477135946,1,50-75k,1,0.4845864943344016,North London
drive,HBW,full,5,10.864046260193637,24.0,1,0,4308.0,1.1733929370872012,0.2776847715796221,0.2762079409657016,0.19960779454513053,2,25-35k,3,0.5010515705816025,West London
pt,NHBO,full,2,19.240788692752343,44.0,1,0,2398.0,0.5845798901607198,0.19372327875090356,0.18914206358261132,0.46929421121162884,0,10-15k,1,0.2885353673516048,East London
walk,HBO,full,3,13.139735662451539,28.0,0,0,2443.0,0.530976095536904,0.11836510931406082,0.1699102809990136,0.446094700675174,0,35-50k,1,0.3756004791807895,East London
