travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
drive,HBO,free,6,14.252919913743305,56,1,1,3297.0,0.7097644722951002,0.28192544176104384,0.19911927275195937,0.3085662510178905,2,50-75k,2,0.2966256962443411,West London
drive,NHBO,full,3,14.235893417877879,36,0,1,2638.0,0.6750924931082581,0.14658765217140426,0.16824197936070634,0.3470069611787479,2,>100k,2,0.4141607046326926,West London
pt,HBO,free,2,9.683644536113043,66,1,1,5608.0,1.3996084735062044,0.34626121535319426,0.27616817946019434,0.20098850810924923,2,15-20k,2,0.495754226542886,East London
cycle,HBO,full,3,7.033578069441621,54,0,1,1386.0,0.4714244191059039,0.11310701061433215,0.14425311117702697,0.6025608599665299,1,>100k,1,0.1987551592326911,Central London
drive,HBO,full,5,16.265685846167283,33,0,0,5940.0,1.6100732043120463,0.3686745212273316,0.29244868477444463,0.23618131530692704,0,15-20k,3,0.8614795272825914,East London
pt,HBW,full,5,6.3617050619174424,29,1,0,5335.0,0.7897666985240791,0.18836789901123685,0.294009239516162,0.29403614794697197,0,20-25k,1,0.500038119507195,South London
drive,HBO,free,4,13.520575910372779,62,1,1,1713.0,0.45095483925949026,0.16476779827837296,0.1648667469902605,0.11893872167416805,2,35-50k,1,0.2581703528060762,South London
drive,HBW,full,5,6.392575770816661,44,0,1,4225.0,0.6833720494660768,0.17595583151990504,0.4821306440611552,0.509352513048162,1,35-50k,2,0.41856912030333787,East London
pt,HBW,full,2,6.4461574405806426,33,0,1,5657.0,0.6584651275867104,0.2552925555576056,0.34645933062089407,0.5659455431663062,1,10-15k,3,0.5142985119196788,West London
drive,HBO,child,6,10.126273257268318,17,0,0,11797.0,2.4720112239536425,0.536397660522272,0.4752696366656708,0.12423741420541778,0,25-35k,3,1.0505417780941086,East London
pt,B,full,5,16.080853575488835,31,1,1,20876.0,3.5470159874387543,1.359157886440103,0.9203604141946385,0.23606797998833814,1,50-75k,2,1.1765121192724715,West London
pt,HBW,full,2,18.405894766419372,36,1,1,17782.0,3.3708378107787107,1.098010401650004,1.1730061331327102,0.7686487605104697,1,75-100k,2,0.6600275768889933,South London
drive,HBO,full,6,9.58870362173168,24,1,0,1227.0,0.34787633868871193,0.1513513676630664,0.1459476548387038,0.17162009288770871,1,10-15k,2,0.13070386370682316,East London
pt,HBO,free,5,13.908680849476756,82,0,0,3008.0,0.5491941626949423,0.23715382435948565,0.14201537528772273,0.08343229547516065,0,35-50k,4,0.48503712813527133,Central London
cycle,HBO,full,6,8.299628272238499,36,1,0,1854.0,0.6080279363430128,0.08537263297120909,0.1277636129382868,0.18187895685918845,0,5-10k,1,0.1590579587035849,Central London
drive,HBO,full,6,13.383206161263894,30,1,0,1286.0,0.5207083429900383,0.10223686738568163,0.14537747868674245,0.30920499085134023,1,5-10k,2,0.204645300658269,West London
pt,HBE,dis,7,14.214571468937226,51,1,1,3190.0,0.9380650962495599,0.25732195603386726,0.1615023460007615,0.0001290022073701519,1,20-25k,1,0.6427969306863023,South London
drive,NHBO,full,6,9.315408238005087,48,0,1,3805.0,1.8397812860400318,0.4778239896554351,0.3014992033002802,0.1932713343419101,1,10-15k,2,0.8015458479892131,South London
pt,B,full,1,16.443029831977334,19,1,0,9567.0,1.7668610418135717,0.7647643296624239,0.7016753551206352,0.20075319023155166,0,20-25k,3,0.8892974155113335,East London
pt,HBE,full,4,12.42629020703989,34,0,1,6091.0,1.5433044519563377,0.49169279948845396,0.4642847346936587,0.4244418483901726,0,25-35k,2,0.5204516543553107,Central London
walk,HBW,full,1,18.534006881834635,11,0,1,392.0,0.1850162041564785,0.06781690138468967,0.08394055417199403,0.3408880624927665,1,50-75k,3,0.06723138191466653,West London
walk,NHBO,full,4,6.511774006727984,57,1,0,621.0,0.12258125569581169,0.06407470604426485,0.09248103439404472,0.19963813022322585,0,10-15k,2,0.09319173417389441,North London
