travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
walk,NHBO,full,2,16.63154510043402,44.0,1,1,632.0,0.14648571279183728,0.07213698458598815,0.08793776179812263,0.3424566229285497,0,>100k,1,0.15184399382297192,South London
drive,HBE,free,4,14.380586946005483,63.0,1,1,4775.0,1.5655738081795783,0.6871654490508069,0.29934391026684765,0.4020623371454095,1,50-75k,5,0.47657010169966685,South London
walk,HBO,full,7,13.644786555151757,44.0,0,1,2151.0,0.46726417234662404,0.1366145870054701,0.13555988463710258,0.2624790359630199,1,5-10k,3,0.3483601085476807,West London
drive,HBW,full,5,6.497379380753721,62.0,0,1,6942.0,1.879914463025665,0.5472410385319623,0.5573844461093889,0.46724846446414015,1,>100k,4,0.5350215546894028,West London
pt,HBO,full,5,12.943579887449344,62.0,1,1,5904.0,1.41031418852326,0.23788344249393936,0.42766184852501304,0.5233151128267591,1,>100k,2,0.5253659315935275,South London
walk,HBO,free,3,7.816907891034898,88.0,0,1,1260.0,0.36428385937048074,0.11719612275563376,0.10493423184149964,0.3127754813689465,0,35-50k,1,0.23619140902298758,East London
pt,B,free,3,10.171187460245005,83.0,1,1,1118.0,0.2465159603178092,0.10397480339669452,0.10435502817583471,0.4340262793915847,0,50-75k,1,0.16065025536033262,Central London
pt,HBW,full,5,19.426095655401884,36.0,0,0,16841.0,3.9252638614348796,1.2968113997187674,0.7435266263689874,0.3226071500575008,1,5-10k,3,1.1531090216450508,North London
walk,HBO,full,2,16.00038533816644,36.0,1,1,655.0,0.18448337559921457,0.08104408418611299,0.09758568589522867,0.22335027938570082,1,75-100k,3,0.1404139942928578,East London
pt,B,full,6,13.638433541596584,26.0,1,0,2915.0,0.8529181313588672,0.23913619382450504,0.2928052085679068,0.7089507746732425,0,15-20k,6,0.7451178229324796,South London
drive,B,full,3,17.187377065219355,40.0,0,1,1632.0,0.42250954894855314,0.1417194332362003,0.1775971131094402,0.3229722038310229,1,50-75k,3,0.4062571882149291,West London
walk,HBO,full,3,18.777576261420876,41.0,1,0,1106.0,0.21412773017720585,0.059779013415477276,0.06805832400114532,0.395860327982471,0,>100k,2,0.16640260005581875,Central London
walk,HBO,full,7,15.305949416916445,39.0,1,0,1847.0,0.4317769253058694,0.1838009558953371,0.15596941743439455,0.42790514160053683,1,25-35k,4,0.3263618348180681,Central London
drive,HBO,full,4,13.43763469765325,61.0,0,1,5479.0,1.1206767335572012,0.4068270958589728,0.31870793403915887,0.8119018803882629,2,35-50k,3,0.5136160132128015,West London
