travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
drive,HBO,full,5,9.545710165284387,27,1,1,704.0,0.22250291724003224,0.0626549087760657,0.06995693145530381,0.019432102467403352,1,15-20k,3,0.13191094208131043,North London
drive,HBO,free,6,9.888335873436723,87,1,1,3194.0,0.6190920457185048,0.15678626275732432,0.17201045516877725,0.3097482843371042,3,35-50k,2,0.2732840981134579,West London
walk,HBE,free,4,13.523256080280431,31,1,1,691.0,0.2664992134993369,0.123813953632819,0.07857821216350921,0.12542374830279512,1,20-25k,2,0.24555974734098107,North London
drive,B,full,3,6.113949211994161,29,1,1,2682.0,0.7967068602303008,0.26131853692099094,0.21607021011144614,0.1561760574436351,1,<5k,2,0.37174874578343714,West London
pt,HBO,full,6,8.599131111886615,39,1,1,14412.0,4.541794710203245,1.4730345138020509,0.7250409108315183,0.3076276161078695,1,50-75k,2,1.3673060859239075,South London
walk,HBO,full,2,14.601691675765313,36,0,1,1138.0,0.24201946028715493,0.10396810216970476,0.10434290844855897,0.31713776192034476,1,35-50k,2,0.17941616763747617,Central London
walk,HBO,full,2,17.583452727317233,45,1,1,910.0,0.2730813753124805,0.1007512528267218,0.1291783891356221,0.5356399469964691,0,20-25k,2,0.25098490871743045,East London
walk,HBO,16+,3,13.428802688806107,24,1,1,2761.0,0.5468848029627335,0.1444810016362437,0.1532099347347945,0.4873285725324379,0,15-20k,2,0.27504587776167133,East London
pt,HBO,full,2,18.673620455234573,39,1,0,2595.0,0.5350415670016221,0.14430441675006916,0.14282899764247628,0.43914422177191825,0,5-10k,3,0.24355999953789517,West London
pt,HBO,dis,3,18.78608370961946,56,0,1,3330.0,0.9499754554750676,0.2737155329900764,0.24886727663227434,0.40321018009495263,0,25-35k,1,0.38347462847871294,South London
drive,B,full,6,5.415208122667321,44,1,1,6315.0,1.828739187859971,0.521057964778341,0.29732946394687876,0.2232395356719073,1,25-35k,2,1.2849382083237837,East London
pt,B,dis,2,8.240760288505161,49,0,0,14219.0,3.27216498711303,0.9877824292064724,0.8087122255603771,0.7393166776505518,0,5-10k,2,0.9729216167721947,West London
drive,HBO,full,7,13.964390848320352,56,0,1,3349.0,0.7738093008194278,0.18548347919688582,0.19276665630192544,0.17535107015368245,2,35-50k,2,0.3256205676650336,East London
walk,HBW,full,1,8.589073653725917,26,1,0,985.0,0.4705543109121126,0.14844944893488884,0.10220162860776427,0.13347030777674312,1,50-75k,2,0.25311810387121303,West London
pt,HBW,full,4,17.558502762658396,42,1,1,4800.0,1.274423054569209,0.29162349992922115,0.3438570333691988,0.7434759914931596,0,10-15k,1,0.5158340730823469,Central London
drive,HBW,full,2,8.996804448057526,53,0,1,3878.0,1.0397566058405938,0.3426796464763914,0.19399515035288964,0.13085292397329296,2,20-25k,4,0.6365871516210247,West London
pt,NHBO,full,3,10.625559166333135,51,0,1,1456.0,0.27429847202119734,0.10792745344860322,0.1411185486923566,0.7820663727729398,0,75-100k,5,0.1976634661605114,North London
pt,HBO,dis,4,9.057155623612717,56,0,1,6873.0,1.840993028619339,0.582884269947522,0.45755479809114685,0.41934556602544165,1,20-25k,4,0.7352231020779648,South London
pt,HBO,child,6,16.53539443193238,11,1,0,3893.0,1.4279471744177648,0.37483618834967264,0.33262025264479894,0.2909070544812327,1,50-75k,4,0.5691919243209337,North London
walk,HBE,full,1,17.09374081002928,27,1,0,793.0,0.3247541652831585,0.13157747229078695,0.08161455350599241,0.09150984033718644,2,>100k,3,0.31620457123730056,South London
pt,HBO,full,3,13.299313166184442,49,0,1,2956.0,1.8428270402499425,0.5887391983526751,0.5381135218828912,0.6661003765265444,2,10-15k,4,0.5767103947460539,West London
drive,HBO,free,4,13.791995233768024,79,1,1,535.0,0.22697405663413475,0.04704628336542742,0.06411068037346913,0.11984958256631599,1,25-35k,1,0.10233722119436493,West London
drive,HBO,full,6,14.239072595173099,36,1,1,975.0,0.24505654783607428,0.10481009465421937,0.06623569529398829,0.27192872443946736,1,75-100k,2,0.2566189215779311,South London
pt,HBW,dis,3,20.088613023072753,24,1,0,7256.0,1.5276885128764162,0.56733409207281,0.3705223211086977,0.21081822227378097,0,35-50k,1,0.37207581159290165,North London
drive,NHBO,full,6,19.871873043418493,34,0,1,648.0,0.1895174099187985,0.06947056210868892,0.07197222833525335,0.16398178796537138,1,>100k,1,0.11047981606658765,East London
drive,HBE,full,5,18.006231097071804,32,0,1,11947.0,2.764587566779424,0.8908396542596179,0.6809934821481817,0.42181182598383227,2,50-75k,2,1.0207763110504766,East London
drive,HBO,full,2,9.569955968900329,32,1,1,519.0,0.20457413443746092,0.08102815424199943,0.06465093231712646,0.12349459552336961,2,25-35k,2,0.10447700193925483,West London
pt,HBW,free,2,6.138654438493168,74,0,1,13576.0,3.3132120828599176,0.9544577273602388,0.4385069382584224,0.3206959194868361,1,35-50k,2,1.0090293542629636,North London
pt,HBO,free,1,13.091364401768288,85,1,1,3593.0,0.8962568466499186,0.20195368652438161,0.24312640964544363,0.343036040111936,2,>100k,2,0.4751494541433156,Central London
pt,HBO,free,5,11.61848503909355,77,0,1,4269.0,1.3056583447062844,0.4427829308363041,0.4088367532461512,0.5943751143442623,1,15-20k,1,0.7446941303965228,West London
drive,HBO,full,5,18.04206551451367,30,1,1,11386.0,3.288959626376711,1.3291859464789835,0.505114034797191,0.29510075805837493,2,25-35k,2,1.108482818457606,West London
drive,HBO,full,6,18.898531478839182,54,0,1,1082.0,0.33083475850182903,0.1232432774353284,0.11148578267055322,0.2411869350376278,1,50-75k,4,0.28505106831696914,Central London
drive,HBW,full,5,5.461629881961394,46,1,1,16888.0,4.466082906072416,1.2167816163642817,0.7763199051621971,0.4829739674229545,2,35-50k,2,1.0559736390125691,West London
walk,NHBO,full,6,13.130833547692017,23,0,1,563.0,0.1915255737897381,0.07428049378250919,0.056687690130922216,0.3059952838148654,1,>100k,3,0.15142203362504048,East London
drive,HBO,full,4,17.730402777260142,26,1,1,11224.0,1.921626215788564,0.6452050605622,0.4591025832613894,0.3604301327620233,2,15-20k,4,1.2148236112619066,West London
