travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
drive,HBO,free,1,19.501106732986937,66.0,1,0,3214.0,0.8547220831869167,0.24710861230012435,0.17606977971068952,0.3889048635820566,1,25-35k,1,0.5664685435240935,South London
pt,HBE,child,7,12.23327699525715,52.0,1,1,2515.0,0.6434889170722723,0.18921567743067436,0.17038211215239918,0.6097337915144853,0,15-20k,1,0.34777995039087356,North London
pt,HBO,full,6,19.425164629374375,40.0,1,1,1809.0,0.8091580195467293,0.13529618301384663,0.1981419775941649,0.41730347644869326,3,35-50k,2,0.317412695298697,East London
drive,HBW,full,1,8.46045526857962,51.0,1,1,2894.0,0.7210001401029471,0.22054740165227305,0.1450111475588319,0.3181562724361135,1,20-25k,6,0.4418148914779649,West London
drive,HBO,full,5,18.92482979255304,27.0,1,0,3536.0,1.2210017873121302,0.2809100257385083,0.271151164886559,0.21562736122064163,0,15-20k,2,0.32486173100664373,South London
walk,HBO,full,5,9.760551389845288,46.0,1,1,2884.0,0.22343628351574393,0.12763677832340553,0.06831567407997623,0.20712695128049027,2,25-35k,3,0.14415082771872847,West London
drive,B,full,6,9.526914689743148,51.0,1,1,2576.0,0.6048998902441829,0.18576636962965992,0.17586831479039208,0.4896715417736094,1,35-50k,3,0.3174589390623603,South London
drive,HBO,full,6,9.076407648651076,40.0,1,1,2883.0,0.5455516562291602,0.20527747266484547,0.1719075935312626,0.17689605201534486,2,<5k,2,0.46834278157758225,North London
walk,HBE,full,5,19.486764167262344,36.0,1,1,1067.0,0.30897356625369693,0.3697866457227828,0.15606432321041783,0.2780178377846986,1,75-100k,3,0.3898753969904092,West London
pt,HBW,full,3,6.4805164897167415,28.0,0,1,13111.0,2.8356470027967107,1.1386331782614552,0.8525395143405177,0.7359523173255128,0,15-20k,2,1.0365551826248471,North London
drive,NHBO,full,5,23.271808875916555,31.0,1,1,5801.0,1.1661939867865483,0.4399774205457807,0.326841529120762,0.5057578716571315,1,75-100k,4,0.4278682951620562,North London
walk,HBO,dis,5,10.424028975335172,22.0,1,1,815.0,0.22360711522977192,0.09717081958135693,0.14487990134290032,0.36190726321273914,0,20-25k,1,0.16029564010062716,South London
walk,HBE,free,1,12.873452403254683,42.0,1,1,2878.0,0.2352852902270914,0.08355614800309115,0.1023050576933053,0.3927308568361687,2,50-75k,2,0.15018561631794092,West London
walk,HBE,full,2,9.5927843826526,32.0,1,1,2882.0,0.19639811642362237,0.08344680221084431,0.1270193251586609,0.15262440695581192,1,20-25k,6,0.23497720389755128,Central London
pt,HBO,full,4,14.222212121522768,66.0,1,0,20510.0,4.606585704998184,1.5446756361514271,1.3084833638267406,0.5451644948353175,0,10-15k,1,1.2323398577431486,Central London
drive,NHBO,full,6,16.161142572078415,55.0,0,1,1327.0,0.4217741772864902,0.13731362206800918,0.14097031197743315,0.27334175267791183,1,50-75k,1,0.1036570900013744,West London
pt,NHBO,dis,6,16.855134342191626,44.0,0,0,3235.0,0.8047133172668827,0.24035967606257416,0.3708785889751086,0.7483799187459574,0,5-10k,1,0.407095643414826,Central London
pt,B,full,3,14.049246649712448,30.0,1,1,10845.0,2.381311415112188,1.081458996123267,1.1617602803880924,0.8225552322379285,1,50-75k,3,0.7916335845289926,East London
drive,HBO,free,3,12.607323469645511,67.0,0,1,856.0,0.19491500784668608,0.08717855541958236,0.09007148427800775,0.1762325371091419,1,75-100k,1,0.1843593068359841,South London
drive,HBO,free,3,14.028762247517706,70.0,1,0,4155.0,0.8565669703243907,0.2907674360919396,0.2568990034088063,0.6356728078159282,1,15-20k,1,0.33814442262676214,West London
pt,HBE,full,2,15.660662604610591,41.0,0,0,1990.0,0.394885200014478,0.1903256345014792,0.19109796359309902,0.7336816083602166,0,15-20k,1,0.3161291967742379,Central London
drive,HBE,full,3,7.9882837412496555,52.0,1,1,998.0,0.28623149772593803,0.08106742952410373,0.07458400952521448,0.1385806420667469,1,5-10k,3,0.16458794903873264,South London
