travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
walk,HBW,full,4,10.85519100652092,33,0,1,3187.0,0.767120242099851,0.28914234517294246,0.34331467287616735,0.7186530213753227,1,50-75k,3,0.339467026450263,Central London
pt,HBO,full,1,8.840831457725624,47,1,1,2601.0,0.6351645265786916,0.3539036292017831,0.16372235836579913,0.28925439091094807,0,10-15k,1,0.3304898981242919,East London
drive,B,full,4,14.29085087118611,50,0,1,7449.0,1.436949704064557,0.5377925366984706,0.3457714301412915,0.4239090832318117,1,25-35k,2,0.7367626448644662,Central London
pt,HBO,free,7,10.931084870384682,91,1,0,1291.0,0.19762096628279094,0.08610776448232756,0.09001725594600364,0.11130790567459747,0,10-15k,1,0.1331295057260618,North London
pt,B,free,5,14.347414440480735,71,1,0,6001.0,0.8348247993158187,0.3220245337285467,0.5601565237161332,0.6862851948637985,0,25-35k,2,0.43330053834989635,East London
pt,HBW,full,3,8.695998550211673,42,1,1,7650.0,2.1298236876200023,0.6583747768897728,0.18900617015483837,0.20646156123142154,1,35-50k,4,0.4096872709597938,West London
walk,NHBO,free,4,13.174629355011511,81,1,0,442.0,0.11714522245092146,0.15597493876585744,0.11906877946787568,0.1575813702726866,1,10-15k,1,0.1520025930479845,South London
pt,HBO,full,2,12.529995032281256,28,1,0,2498.0,0.6397975360523508,0.10484430977690029,0.15113222991490569,0.2936787428936057,0,>100k,6,0.3377299447224746,West London
pt,HBW,full,7,20.357713726656428,30,1,0,8658.0,1.613219784070725,0.6625945388425669,0.3847356526835351,0.3170093664954827,0,<5k,2,0.4190306082204364,West London
pt,B,16+,5,6.026090377008321,16,1,0,7370.0,2.020956764502133,0.7231616204523815,0.39204588061128753,0.633407346757971,0,10-15k,2,0.9686689079229223,Central London
pt,HBO,full,4,17.9508978428622,29,0,0,3008.0,0.5125149660929804,0.16044639876954295,0.284164165101114,0.3957571635367213,0,10-15k,3,0.4127356263413477,East London
